,region,date,AVG_temp(°C),day_precipitation(mm),AVG_wind(m/s),AVG_relative_hum(%)
128,105,05-09,16.52,0.57,2.18,59.1
129,105,05-10,15.24,6.05,1.86,69.6
130,105,05-11,16.55,4.71,2.11,61.48
131,105,05-12,17.76,0.95,2.76,57.42
132,105,05-13,17.47,0.9,2.97,58.77
133,105,05-14,19.01,1.55,2.75,51.39
134,105,05-15,17.68,0.15,2.52,57.95
135,105,05-16,18.71,0.31,2.18,53.06
136,105,05-17,19.53,5.3,2.27,51.24
137,105,05-18,19.68,8.65,2.4,53.75
138,105,05-19,20.31,3.72,2.43,52.42
139,105,05-20,19.9,0.0,2.72,49.08
140,105,05-21,19.6,1.4,2.49,50.9
141,105,05-22,19.78,0.37,2.39,52.33
142,105,05-23,19.41,7.85,1.9,59.43
143,105,05-24,21.6,1.51,2.29,52.16
144,105,05-25,20.58,0.41,2.7,52.52
145,105,05-26,19.078,0.178,2.411,57.667
146,105,05-27,18.75,1.71,2.41,63.46
147,105,05-28,19.31,0.45,1.95,63.61
148,105,05-29,20.74,0.05,2.17,59.55
149,105,05-30,20.68,1.35,2.45,56.49
150,105,05-31,20.61,1.2,2.03,54.56
151,105,06-01,21.08,2.7,2.28,52.84
152,105,06-02,20.19,0.02,1.89,56.72
153,105,06-03,21.31,0.5,1.94,54.33
154,105,06-04,22.63,0.9,2.14,50.52
155,105,06-05,21.04,0.8,2.19,61.67
156,105,06-06,21.06,1.47,1.81,63.64
157,105,06-07,20.82,7.02,1.63,68.41
158,105,06-08,21.03,0.1,1.78,65.1
159,105,06-09,20.74,0.36,2.06,66.21
160,105,06-10,20.56,0.6,1.81,63.48
161,105,06-11,19.49,0.56,1.46,69.74
162,105,06-12,18.75,1.2,1.67,76.33
163,105,06-13,18.91,0.87,1.54,76.39
164,105,06-14,20.6,0.92,1.7,70.78
165,105,06-15,20.71,3.89,1.71,73.76
166,105,06-16,21.49,0.6,1.8,69.41
167,105,06-17,22.53,0.1,1.93,65.13
168,105,06-18,22.6,3.5,1.52,69.48
169,105,06-19,22.3,0.93,1.72,71.05
170,105,06-20,22.59,1.1,1.62,68.28
171,105,06-21,22.47,0.29,1.88,69.42
172,105,06-22,23.08,0.55,1.79,64.39
173,105,06-23,22.72,3.3,1.64,68.72
174,105,06-24,22.11,13.82,1.61,71.21
175,105,06-25,22.32,5.8,1.64,70.6
176,105,06-26,21.26,28.95,1.73,79.26
177,105,06-27,22.1,1.99,1.7,74.59
178,105,06-28,22.77,3.74,1.73,72.59
179,105,06-29,23.32,2.46,1.49,74.94
180,105,06-30,24.14,1.95,1.64,73.27
181,105,07-01,24.9,9.85,1.87,68.82
182,105,07-02,24.72,14.85,1.93,69.98
183,105,07-03,23.98,15.36,2.04,75.06
184,105,07-04,23.74,15.0,1.87,74.11
185,105,07-05,23.86,9.55,1.73,72.07
186,105,07-06,22.86,16.17,1.59,75.51
187,105,07-07,21.94,2.82,1.45,76.82
188,105,07-08,22.62,7.15,1.28,78.91
189,105,07-09,24.54,9.79,1.58,75.02
190,105,07-10,23.4,7.8,1.42,81.45
191,105,07-11,23.75,19.15,1.66,78.5
192,105,07-12,25.13,3.05,2.02,72.31
193,105,07-13,26.06,3.7,2.17,69.63
194,105,07-14,25.46,14.45,2.04,70.73
195,105,07-15,24.82,16.6,1.96,73.01
196,105,07-16,24.7,10.95,1.86,72.87
197,105,07-17,25.54,1.7,1.96,70.72
198,105,07-18,25.76,2.39,1.72,69.29
199,105,07-19,26.1,3.85,1.83,71.25
200,105,07-20,26.23,2.04,2.14,69.28
201,105,07-21,26.52,0.95,1.98,67.81
202,105,07-22,25.95,6.6,2.18,69.8
203,105,07-23,26.55,3.5,1.91,71.39
204,105,07-24,26.98,2.48,2.02,70.57
205,105,07-25,26.72,2.63,1.81,72.62
206,105,07-26,27.85,2.3,2.3,63.91
207,105,07-27,27.79,3.93,2.0,65.02
208,105,07-28,27.96,0.95,1.82,65.32
209,105,07-29,27.88,0.97,2.12,66.94
210,105,07-30,28.01,0.7,1.94,68.87
211,105,07-31,27.95,4.85,2.2,69.27
212,105,08-01,27.08,0.46,1.82,73.96
213,105,08-02,25.99,3.25,1.54,80.89
214,105,08-03,26.6,2.97,1.66,77.19
215,105,08-04,28.07,1.65,1.62,71.78
216,105,08-05,29.04,0.03,1.91,65.66
217,105,08-06,27.52,23.15,1.74,73.09
218,105,08-07,27.09,7.47,1.79,74.84
219,105,08-08,27.69,3.69,2.17,68.64
220,105,08-09,27.26,4.95,1.96,70.02
221,105,08-10,26.74,13.53,1.9,74.68
222,105,08-11,26.98,12.65,2.02,70.91
223,105,08-12,27.14,3.53,1.83,69.7
224,105,08-13,26.49,4.75,1.77,74.12
225,105,08-14,26.3,6.54,1.74,75.24
226,105,08-15,26.46,27.8,2.09,75.81
227,105,08-16,25.81,13.26,1.86,74.97
228,105,08-17,24.93,5.92,1.91,74.21
229,105,08-18,25.05,8.29,1.8,74.27
230,105,08-19,25.0,3.37,1.48,76.98
231,105,08-20,25.06,2.56,1.49,78.08
232,105,08-21,25.79,3.42,1.58,74.81
233,105,08-22,26.46,3.76,1.88,68.95
234,105,08-23,25.91,5.35,1.98,69.21
235,105,08-24,24.73,14.93,1.95,73.56
236,105,08-25,23.77,18.53,1.95,75.12
237,105,08-26,22.51,17.91,1.88,75.57
238,105,08-27,23.21,6.95,1.75,74.59
239,105,08-28,23.72,15.82,2.02,75.09
240,105,08-29,23.94,10.0,2.05,71.28
241,105,08-30,23.56,10.7,1.99,71.93
242,105,08-31,22.82,4.66,2.33,69.19
243,105,09-01,22.74,0.31,1.88,71.84
244,105,09-02,22.32,2.35,1.9,74.89
245,105,09-03,21.96,16.5,1.69,77.62
246,105,09-04,22.29,15.0,1.73,78.43
247,105,09-05,23.08,15.25,1.88,69.61
248,105,09-06,22.61,2.18,1.96,70.66
249,105,09-07,22.62,0.4,2.14,69.29
250,105,09-08,22.33,4.56,2.38,63.63
251,105,09-09,21.68,1.29,1.97,70.13
252,105,09-10,21.25,4.2,1.59,77.6
253,105,09-11,20.4,16.95,1.55,81.45
254,105,09-12,20.35,11.39,1.49,80.25
255,105,09-13,20.88,1.4,1.61,75.63
256,105,09-14,21.41,1.31,1.77,71.74
257,105,09-15,21.21,2.16,1.82,73.6
258,105,09-16,20.93,4.62,1.92,70.05
259,105,09-17,20.43,27.05,2.17,74.66
260,105,09-18,20.88,5.55,2.17,68.94
261,105,09-19,19.99,4.25,2.17,70.25
262,105,09-20,19.82,3.65,1.92,67.95
263,105,09-21,19.53,10.01,2.06,71.5
264,105,09-22,18.89,12.05,2.08,70.93
265,105,09-23,18.92,0.7,2.06,68.9
266,105,09-24,19.27,3.2,2.13,67.88
267,105,09-25,19.26,2.75,2.22,70.15
268,105,09-26,19.04,0.23,1.81,69.94
269,105,09-27,19.38,1.37,1.91,68.07
270,105,09-28,19.29,2.57,2.16,64.98
271,105,09-29,18.14,4.92,2.08,65.85
272,105,09-30,18.37,6.35,2.36,65.84
273,105,10-01,4.295,1.095,3.346,52.222
274,105,10-02,6.561,4.689,2.387,61.611
275,105,10-03,7.429,12.659,2.468,68.124
276,105,10-04,11.79,0.968,2.565,56.54
277,105,10-05,17.205,6.0,2.498,62.124
278,105,10-06,20.785,5.228,1.752,68.195
279,105,10-07,23.805,2.5,1.959,72.576
280,105,10-08,24.28,5.29,1.768,75.585
281,105,10-09,19.8,6.838,1.95,72.008
282,105,10-10,15.397,1.613,2.257,67.01
283,105,10-11,11.102,0.933,3.01,46.875
284,105,10-12,6.085,0.666,3.315,45.302
285,105,10-13,15.6,3.76,2.6,60.41
286,105,10-14,15.81,9.7,2.21,59.91
287,105,10-15,14.82,7.6,2.23,60.09
288,105,10-16,15.56,1.0,2.5,56.89
289,105,10-17,15.6,0.2,2.36,54.96
290,105,10-18,14.59,3.15,2.21,61.48
291,105,10-19,15.75,0.2,1.99,62.48
292,105,10-20,16.12,1.04,2.27,66.26
293,105,10-21,15.24,9.7,1.84,72.98
294,105,10-22,14.34,5.22,1.88,72.97
295,105,10-23,14.04,1.95,2.27,65.93
296,105,10-24,15.62,0.1,2.4,57.4
297,105,10-25,14.39,1.4,2.39,56.88
298,105,10-26,13.68,0.0,2.47,52.83
299,105,10-27,13.05,0.37,2.34,54.79
300,105,10-28,13.33,0.4,2.31,54.9
301,105,10-29,12.51,5.25,2.59,55.07
302,105,10-30,11.24,0.25,2.23,52.89
303,105,10-31,11.96,0.95,2.55,51.98
304,105,11-01,0.861,0.378,3.346,42.071
305,105,11-02,5.166,3.792,2.276,57.955
306,105,11-03,7.168,1.073,2.815,47.476
307,105,11-04,12.075,4.167,2.813,53.807
308,105,11-05,15.612,2.561,2.205,62.032
309,105,11-06,19.822,9.85,2.132,64.043
310,105,11-07,20.88,10.7,1.707,78.041
311,105,11-08,22.01,5.493,1.934,72.851
312,105,11-09,17.783,8.625,2.22,68.357
313,105,11-10,13.866,1.661,2.359,58.093
314,105,11-11,11.005,4.254,2.29,59.744
315,105,11-12,3.695,2.72,3.059,47.283
316,105,11-13,10.3,3.55,2.76,50.79
317,105,11-14,9.5,3.3,2.69,47.8
318,105,11-15,8.72,0.05,2.43,47.21
319,105,11-16,9.61,0.35,2.42,44.43
320,105,11-17,9.36,0.55,2.57,53.62
321,105,11-18,8.34,2.73,2.69,49.0
322,105,11-19,7.93,0.05,2.85,46.33
323,105,11-20,7.42,0.05,2.88,38.82
324,105,11-21,8.6,0.02,2.62,41.64
325,105,11-22,8.93,4.79,2.6,50.03
326,105,11-23,7.01,3.55,2.56,55.15
327,105,11-24,6.99,2.47,2.57,49.97
328,105,11-25,6.32,8.1,2.7,53.73
329,105,11-26,6.05,0.03,2.95,47.37
330,105,11-27,7.14,1.85,3.14,47.73
331,105,11-28,6.38,3.0,2.72,51.1
332,105,11-29,6.46,3.15,2.55,52.85
333,105,11-30,7.2,5.61,2.56,52.58
334,105,12-01,1.278,1.198,2.939,48.378
335,105,12-02,1.921,0.555,2.953,41.679
336,105,12-03,5.737,3.976,2.715,54.544
337,105,12-04,11.275,3.5,2.955,49.555
338,105,12-05,14.359,1.295,2.415,56.415
339,105,12-06,16.167,1.37,1.858,67.008
340,105,12-07,19.868,6.42,2.071,64.727
341,105,12-08,19.58,7.763,1.995,71.268
342,105,12-09,15.84,7.967,2.255,64.403
343,105,12-10,12.915,0.551,2.727,53.168
344,105,12-11,6.432,0.89,3.17,47.362
345,105,12-12,0.265,1.105,3.067,42.895
346,105,12-13,2.26,0.1,2.81,41.58
347,105,12-14,2.35,5.16,2.68,51.3
348,105,12-15,2.07,0.25,2.94,44.71
349,105,12-16,1.33,0.0,3.44,38.44
350,105,12-17,1.69,0.5,3.42,43.46
351,105,12-18,2.65,0.85,3.03,43.73
352,105,12-19,3.68,0.01,2.98,37.34
353,105,12-20,4.2,0.2,2.77,38.62
354,105,12-21,4.25,2.03,2.83,48.1
355,105,12-22,3.83,1.65,2.85,52.53
356,105,12-23,3.4,0.05,3.11,44.83
357,105,12-24,1.48,0.55,3.21,43.96
358,105,12-25,1.02,0.0,3.46,35.23
359,105,12-26,0.96,0.0,3.19,36.31
360,105,12-27,-0.28,2.3,3.11,36.99
361,105,12-28,0.66,0.75,2.93,41.39
362,105,12-29,1.62,0.65,3.04,44.31
363,105,12-30,2.4,0.0,3.42,43.79
364,105,12-31,0.99,0.0,3.53,34.73
365,294,01-01,0.72,0.62,3.71,38.51
366,294,01-02,1.66,0.4,3.33,41.4
367,294,01-03,1.36,0.65,3.1,38.1
368,294,01-04,1.34,2.25,3.0,47.01
369,294,01-05,0.88,0.61,3.4,44.94
370,294,01-06,0.39,0.0,3.06,42.73
371,294,01-07,1.1,0.0,3.21,36.76
372,294,01-08,1.74,0.15,3.28,38.93
373,294,01-09,0.07,0.05,3.67,33.64
374,294,01-10,-0.07,0.0,3.39,30.85
375,294,01-11,-0.63,0.0,3.22,36.49
376,294,01-12,-0.79,0.2,3.56,38.02
377,294,01-13,-0.57,0.0,3.07,36.94
378,294,01-14,0.49,0.15,3.11,35.58
379,294,01-15,0.58,0.35,2.87,44.53
380,294,01-16,0.45,0.08,3.16,44.74
381,294,01-17,1.28,1.56,2.63,50.16
382,294,01-18,1.9,0.0,3.45,39.23
383,294,01-19,1.63,1.65,3.06,43.04
384,294,01-20,1.67,4.15,2.57,55.9
385,294,01-21,0.54,6.45,2.51,59.05
386,294,01-22,0.08,3.13,3.16,50.69
387,294,01-23,-1.16,0.01,3.77,39.32
388,294,01-24,-1.31,0.0,3.99,35.34
389,294,01-25,-1.48,1.06,3.52,38.61
390,294,01-26,-1.09,0.59,3.49,40.22
391,294,01-27,1.2,0.26,3.68,34.98
392,294,01-28,1.22,0.1,2.85,40.2
393,294,01-29,0.88,2.1,2.86,43.6
394,294,01-30,1.65,2.25,3.24,46.03
395,294,01-31,1.24,1.5,2.68,45.15
396,294,02-01,0.62,1.62,2.82,48.11
397,294,02-02,1.79,0.05,3.41,39.0
398,294,02-03,1.11,0.9,3.23,41.5
399,294,02-04,1.58,0.06,3.33,36.24
400,294,02-05,0.98,0.45,2.64,40.17
401,294,02-06,1.42,1.49,2.76,45.53
402,294,02-07,0.39,3.8,2.89,42.8
403,294,02-08,-0.28,2.15,2.8,43.16
404,294,02-09,0.31,4.2,2.84,46.79
405,294,02-10,0.33,2.55,2.78,52.9
406,294,02-11,0.04,9.5,2.61,52.54
407,294,02-12,0.02,6.0,2.33,52.12
408,294,02-13,1.15,2.76,2.38,51.66
409,294,02-14,2.43,1.75,2.65,55.59
410,294,02-15,1.92,0.15,2.69,51.85
411,294,02-16,2.52,0.65,2.83,45.68
412,294,02-17,1.9,2.65,2.72,48.57
413,294,02-18,1.76,1.01,2.58,49.09
414,294,02-19,2.78,1.05,2.51,47.02
415,294,02-20,2.82,0.0,2.7,46.22
416,294,02-21,2.56,0.2,2.23,50.9
417,294,02-22,4.26,0.35,2.56,52.85
418,294,02-23,4.63,0.22,2.84,50.48
419,294,02-24,5.01,0.36,2.46,51.41
420,294,02-25,4.58,0.96,2.18,56.29
421,294,02-26,4.244,0.111,2.267,55.556
422,294,02-27,4.02,4.48,2.01,62.11
423,294,02-28,5.11,7.15,2.05,59.1
424,294,03-01,4.45,4.92,2.67,57.11
425,294,03-02,3.54,4.45,2.61,56.9
426,294,03-03,5.52,0.65,2.51,50.81
427,294,03-04,5.2,2.2,2.21,58.26
428,294,03-05,4.91,7.35,2.38,62.35
429,294,03-06,5.09,1.9,2.43,58.55
430,294,03-07,4.69,2.1,2.38,54.8
431,294,03-08,5.38,3.51,2.69,49.89
432,294,03-09,4.25,3.35,2.5,55.96
433,294,03-10,3.39,1.73,2.62,50.74
434,294,03-11,5.1,0.0,3.38,37.36
435,294,03-12,7.69,0.81,3.23,37.68
436,294,03-13,6.72,2.81,2.97,47.24
437,294,03-14,6.32,0.98,2.53,54.19
438,294,03-15,7.64,1.9,2.92,48.72
439,294,03-16,7.25,0.21,2.86,41.37
440,294,03-17,8.73,0.85,2.11,45.34
441,294,03-18,9.59,4.85,2.37,51.11
442,294,03-19,9.25,1.23,2.49,52.5
443,294,03-20,7.41,6.25,2.2,60.52
444,294,03-21,7.24,1.91,2.87,50.69
445,294,03-22,7.8,1.0,2.65,44.8
446,294,03-23,6.91,5.77,2.4,53.02
447,294,03-24,7.2,0.57,2.94,49.11
448,294,03-25,7.46,5.0,2.83,56.96
449,294,03-26,9.19,0.1,2.64,42.71
450,294,03-27,11.3,1.25,3.13,42.97
451,294,03-28,11.55,1.2,2.91,46.18
452,294,03-29,10.54,0.0,2.72,47.35
453,294,03-30,11.01,0.65,2.69,48.93
454,294,03-31,11.36,1.13,2.33,50.23
455,294,04-01,10.6,2.22,2.62,50.54
456,294,04-02,10.73,1.1,2.59,52.82
457,294,04-03,10.09,9.08,2.72,56.16
458,294,04-04,9.73,3.1,2.6,54.29
459,294,04-05,10.23,1.61,2.31,52.01
460,294,04-06,9.95,4.4,2.53,56.52
461,294,04-07,9.53,4.4,2.62,58.69
462,294,04-08,11.89,0.17,2.97,46.67
463,294,04-09,13.02,1.8,3.08,43.1
464,294,04-10,11.67,2.7,2.78,50.12
465,294,04-11,10.02,1.2,2.25,61.03
466,294,04-12,11.7,0.01,2.47,50.36
467,294,04-13,13.04,0.41,3.19,46.31
468,294,04-14,12.69,4.05,2.84,47.6
469,294,04-15,14.93,0.01,3.16,39.95
470,294,04-16,14.25,1.61,2.57,45.68
471,294,04-17,12.91,2.5,2.7,49.97
472,294,04-18,13.28,3.12,2.68,54.16
473,294,04-19,12.23,2.55,2.34,55.5
474,294,04-20,12.91,2.45,1.98,59.55
475,294,04-21,14.11,8.0,2.14,56.5
476,294,04-22,13.58,3.58,2.54,56.8
477,294,04-23,15.33,5.48,2.59,47.11
478,294,04-24,15.74,3.01,2.75,46.46
479,294,04-25,15.47,1.4,2.6,45.89
480,294,04-26,15.42,4.65,2.77,51.3
481,294,04-27,14.48,1.31,2.87,50.27
482,294,04-28,15.01,3.0,2.77,51.12
483,294,04-29,15.65,11.95,2.74,50.64
484,294,04-30,15.81,5.3,2.93,57.8
485,294,05-01,16.35,0.25,2.27,58.46
486,294,05-02,16.59,3.15,2.38,59.81
487,294,05-03,16.62,1.27,2.71,56.11
488,294,05-04,17.53,0.04,2.87,49.51
489,294,05-05,19.73,0.0,3.43,36.33
490,294,05-06,17.12,1.26,3.01,46.96
491,294,05-07,17.89,0.15,2.92,42.47
492,294,05-08,18.09,1.4,2.63,47.27
493,294,05-09,16.52,0.57,2.18,59.1
494,294,05-10,15.24,6.05,1.86,69.6
495,294,05-11,16.55,4.71,2.11,61.48
496,294,05-12,17.76,0.95,2.76,57.42
497,294,05-13,17.47,0.9,2.97,58.77
498,294,05-14,19.01,1.55,2.75,51.39
499,294,05-15,17.68,0.15,2.52,57.95
500,294,05-16,18.71,0.31,2.18,53.06
501,294,05-17,19.53,5.3,2.27,51.24
502,294,05-18,19.68,8.65,2.4,53.75
503,294,05-19,20.31,3.72,2.43,52.42
504,294,05-20,19.9,0.0,2.72,49.08
505,294,05-21,19.6,1.4,2.49,50.9
506,294,05-22,19.78,0.37,2.39,52.33
507,294,05-23,19.41,7.85,1.9,59.43
508,294,05-24,21.6,1.51,2.29,52.16
509,294,05-25,20.58,0.41,2.7,52.52
510,294,05-26,19.078,0.178,2.411,57.667
511,294,05-27,18.75,1.71,2.41,63.46
512,294,05-28,19.31,0.45,1.95,63.61
513,294,05-29,20.74,0.05,2.17,59.55
514,294,05-30,20.68,1.35,2.45,56.49
515,294,05-31,20.61,1.2,2.03,54.56
516,294,06-01,21.08,2.7,2.28,52.84
517,294,06-02,20.19,0.02,1.89,56.72
518,294,06-03,21.31,0.5,1.94,54.33
519,294,06-04,22.63,0.9,2.14,50.52
520,294,06-05,21.04,0.8,2.19,61.67
521,294,06-06,21.06,1.47,1.81,63.64
522,294,06-07,20.82,7.02,1.63,68.41
523,294,06-08,21.03,0.1,1.78,65.1
524,294,06-09,20.74,0.36,2.06,66.21
525,294,06-10,20.56,0.6,1.81,63.48
526,294,06-11,19.49,0.56,1.46,69.74
527,294,06-12,18.75,1.2,1.67,76.33
528,294,06-13,18.91,0.87,1.54,76.39
529,294,06-14,20.6,0.92,1.7,70.78
530,294,06-15,20.71,3.89,1.71,73.76
531,294,06-16,21.49,0.6,1.8,69.41
532,294,06-17,22.53,0.1,1.93,65.13
533,294,06-18,22.6,3.5,1.52,69.48
534,294,06-19,22.3,0.93,1.72,71.05
535,294,06-20,22.59,1.1,1.62,68.28
536,294,06-21,22.47,0.29,1.88,69.42
537,294,06-22,23.08,0.55,1.79,64.39
538,294,06-23,22.72,3.3,1.64,68.72
539,294,06-24,22.11,13.82,1.61,71.21
540,294,06-25,22.32,5.8,1.64,70.6
541,294,06-26,21.26,28.95,1.73,79.26
542,294,06-27,22.1,1.99,1.7,74.59
543,294,06-28,22.77,3.74,1.73,72.59
544,294,06-29,23.32,2.46,1.49,74.94
545,294,06-30,24.14,1.95,1.64,73.27
546,294,07-01,24.9,9.85,1.87,68.82
547,294,07-02,24.72,14.85,1.93,69.98
548,294,07-03,23.98,15.36,2.04,75.06
549,294,07-04,23.74,15.0,1.87,74.11
550,294,07-05,23.86,9.55,1.73,72.07
551,294,07-06,22.86,16.17,1.59,75.51
552,294,07-07,21.94,2.82,1.45,76.82
553,294,07-08,22.62,7.15,1.28,78.91
554,294,07-09,24.54,9.79,1.58,75.02
555,294,07-10,23.4,7.8,1.42,81.45
556,294,07-11,23.75,19.15,1.66,78.5
557,294,07-12,25.13,3.05,2.02,72.31
558,294,07-13,26.06,3.7,2.17,69.63
559,294,07-14,25.46,14.45,2.04,70.73
560,294,07-15,24.82,16.6,1.96,73.01
561,294,07-16,24.7,10.95,1.86,72.87
562,294,07-17,25.54,1.7,1.96,70.72
563,294,07-18,25.76,2.39,1.72,69.29
564,294,07-19,26.1,3.85,1.83,71.25
565,294,07-20,26.23,2.04,2.14,69.28
566,294,07-21,26.52,0.95,1.98,67.81
567,294,07-22,25.95,6.6,2.18,69.8
568,294,07-23,26.55,3.5,1.91,71.39
569,294,07-24,26.98,2.48,2.02,70.57
570,294,07-25,26.72,2.63,1.81,72.62
571,294,07-26,27.85,2.3,2.3,63.91
572,294,07-27,27.79,3.93,2.0,65.02
573,294,07-28,27.96,0.95,1.82,65.32
574,294,07-29,27.88,0.97,2.12,66.94
575,294,07-30,28.01,0.7,1.94,68.87
576,294,07-31,27.95,4.85,2.2,69.27
577,294,08-01,27.08,0.46,1.82,73.96
